x,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5,1,1,1,1,1.3,1.5,1.2,1.4,1.2,1.3,1.8,1.9,2.3,2.1
4,3.3,1.2,1.3,1.7,1.9,1.5,1.9,1.7,1.8,2,1.9,2.1,2.5,2
3,8.6,5.5,4.6,3.5,2.7,2.5,3.4,2.3,3.5,2.9,2.9,3.2,2.5,1.9
2,9.1,8.7,8.6,8.5,5.9,9.3,7.3,5.5,5.1,7.1,8.6,5.5,4.9,2.2
1,10,7.8,9.4,9.7,10,9.2,9.8,8.9,7.4,8.7,10,9.3,7,7
0,11,9.6,10,11,13,12,13,10,10,6.8,12,11,5.8,8
-1,5.9,7.2,9.3,10,11,13,11,12,10,11,12,11,11,10
-2,6.2,6.7,7.7,8.7,9,9.8,8.8,9.7,9,9.3,8.1,7.3,10,5.7
-3,4.3,4.6,2.4,2.9,3.1,3.1,2.7,3.5,3.4,4,2.8,3.9,4.2,3.2
-4,1.4,1.2,1.2,1.3,1.2,1.6,1.8,2.1,1.7,1.9,1.8,2.1,2.5,2.6
-5,0.9,1.1,1.1,1.2,1.3,1.2,1.3,1.4,2.4,1.1,1.5,2,1.7,1.9